epochs steps out_loss offset_loss train_accuracy time
8 11 0.192 2.851 0.916 267.156
8 12 0.270 2.257 0.903 267.471
8 13 0.252 1.952 0.900 267.687
8 14 0.175 2.714 0.923 268.003
8 15 0.115 3.531 0.987 268.450
8 16 0.218 2.215 0.933 268.639
8 17 0.198 2.520 0.925 268.879
8 18 0.365 2.199 0.833 269.152
8 19 0.155 2.555 0.938 269.477
8 20 0.223 2.568 0.905 269.782
8 21 0.220 2.684 0.912 270.125
8 22 0.295 1.929 0.882 270.385
8 23 0.168 2.683 0.938 270.757
8 24 0.192 2.422 0.936 271.047
8 25 0.227 2.049 0.915 271.250
8 26 0.173 2.904 0.937 271.648
8 27 0.196 2.854 0.921 272.070
8 28 0.123 2.380 0.957 272.338
8 29 0.188 1.874 0.931 272.537
8 30 0.108 2.635 0.960 272.852
8 31 0.126 2.710 0.950 273.223
8 32 0.185 2.252 0.936 273.509
8 33 0.169 2.049 0.940 273.718
8 34 0.246 2.178 0.909 273.868
8 35 0.168 2.639 0.928 274.170
8 36 0.168 2.040 0.932 274.414
8 37 0.135 2.358 0.948 274.703
8 38 0.643 2.065 0.777 274.892
8 39 0.245 2.035 0.905 275.072
8 40 0.325 2.147 0.859 275.326
8 41 0.222 2.329 0.909 275.608
8 42 0.144 2.764 0.941 275.970
8 43 0.339 2.225 0.852 276.231
8 44 0.169 2.689 0.930 276.604
8 45 0.273 2.474 0.883 276.879
8 46 0.108 2.843 0.962 277.252
8 47 0.131 2.774 0.955 277.515
8 48 0.210 2.531 0.903 277.821
8 49 0.171 2.792 0.928 278.222
8 50 0.147 2.742 0.946 278.626
8 51 0.567 3.949 0.841 279.023
8 52 0.287 3.241 0.887 279.312
8 53 0.139 2.402 0.940 279.607
8 54 0.251 2.723 0.891 279.887
8 55 0.283 2.519 0.878 280.208
8 56 0.214 1.964 0.930 280.413
8 57 0.180 2.881 0.929 280.700
8 58 0.156 2.351 0.951 280.948
8 59 0.135 2.483 0.946 281.237
8 60 0.087 2.979 0.979 281.539
8 61 0.180 2.611 0.922 281.837
8 62 0.258 2.896 0.903 282.184
8 63 0.159 2.535 0.944 282.403
8 64 0.208 2.460 0.925 282.709
8 65 0.287 1.915 0.889 282.914
8 66 0.179 1.965 0.939 283.081
8 67 0.176 2.671 0.933 283.377
8 68 0.155 2.825 0.941 283.753
8 69 0.196 2.295 0.914 284.070
8 70 0.181 2.898 0.931 284.421
8 71 0.129 2.653 0.949 284.769
8 72 0.256 2.384 0.921 285.050
8 73 0.238 3.056 0.920 285.307
8 74 0.229 2.240 0.914 285.567
9 0 0.051 3.220 0.990 293.879
9 1 0.219 2.740 0.915 294.254
9 2 0.152 2.813 0.946 294.983
9 3 0.149 2.601 0.944 295.547
9 4 0.262 2.458 0.891 295.880
9 5 0.226 1.989 0.914 296.118
9 6 0.133 2.650 0.950 296.498
